"ORGANIZATION NUMBER","ACCOUNT_NAME","PACKAGE_ID","INVOICE_NUM","TRANSACTION_DATE","DC_PROD_NUM","DC_PROD_NAME","DC_UNIT_OF_MEASURE","DC_QTY","DC_QTY_SIZE","DELIVERED_QUANTITY","DELIVERED_PRICE","UNIT_PRICE"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","100047","ORANGES--88CT *","CS","1","88CT","1","18.73","18.92"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","101217","SPRING MIX--4/3# BR","CS","1","4/3#","1","21.4","21.62"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","101575","BROCCOLI--FLORETS 6/3# BR","CS","1","6/3#","1","21.2","21.41"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","101699","ONION--YELLOW JUMBO 50# BR","CS","1","50#","1","12.87","13"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","101216","LETTUCE--ICEBERG CHPD 1X1 8/2#","CS","1","8/2#","3","32.08","10.8"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","100821","CHILE--JALAPENO 10#","CS","1","10#","2","23.38","11.81"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","101320","AVOCADO--#2 48CT-BR","CS","1","48CT","1","38.91","39.3"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","101982","PEPPER--GREEN FX *L*","CS","1","22#","1","19.67","19.87"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","430070","FRIES--3/8""CUT COATED ZTF 6/6#","CS","1","6/6#","4","70.29","17.75"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","100218","CARROT--SHREDDED 5#--BG","BA","1","5#","1","6.89","6.96"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","101617","CELERY--STICK 4"" 5#--BG BRINKE","BA","1","5#","1","7.03","7.1"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","850122","PEPPER--RED 5#--SPLIT","PK","1","5#","1","9.02","9.11"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","870024","TOMATO--LOOSE 5X5 BULK","CS","1","25#","1","16.33","16.5"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36316567","1845456","01-MAR-17","100067","CILANTRO--CLEANED 1#--BG","LB","1","1#","5","24.35","4.92"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","100067","CILANTRO--CLEANED 4/1#","CS","1","4/1#","2","27.09","13.68"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","100294","TOMATO--SALSA 25# UBU","CS","1","25#","5","60.39","12.2"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","101216","LETTUCE--ICEBERG CHPD 1X1 8/2#","CS","1","8/2#","5","53.46","10.8"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","101217","SPRING MIX--4/3# BR","CS","1","4/3#","2","42.81","21.62"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","101306","SPINACH--CLIPPED 4/2.5#-BR","CS","1","4/2.5#","1","13.5","13.64"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","101320","AVOCADO--#2 48CT-BR","CS","1","48CT","6","233.44","39.3"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","101575","BROCCOLI--FLORETS 6/3# BR","CS","1","6/3#","3","63.59","21.41"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","101664","CUCUMBER--PICKLING BR","CS","1","1/2 BUS","2","40.09","20.25"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","101699","ONION--YELLOW JUMBO 50# BR","CS","1","50#","2","25.74","13"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","101724","ASPARAGUS--STANDARD 11# BR","CS","1","11#","1","19.88","20.08"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","101786","LETTUCE--ICEBERG SHRED 4/5# BR","CS","1","4/5#","2","25.52","12.89"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","101802","TOMATO--GRAPE RED 10# BR","CS","1","10#","1","15.59","15.75"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","101982","PEPPER--GREEN FX *L*","CS","1","22#","1","19.67","19.87"
"FRESHPOINT_158","BRINKER-CHILI'S #075","36340569","1846684","03-MAR-17","430070","FRIES--3/8""CUT COATED ZTF 6/6#","CS","1","6/6#","12","210.87","17.75"
